Date, Open, High, Low, Close, Volume
12/02/19, 6492.00, 6492.00, 6485.00, 6490.00, 120
11/29/19, 6397.95, 6717.00, 6717.00, 6397.95, 20
11/28/19, 6397.95, 6300.00, 6300.00, 6397.95, 1160
11/27/19, 6399.98, 6399.98, 6397.95, 6397.95, 40
11/26/19, 6200.00, 6397.00, 6162.00, 6397.00, 80
11/25/19, 6101.20, 6389.98, 6101.20, 6389.98, 60
11/22/19, 6200.00, 6398.00, 6200.00, 6398.00, 100
11/21/19, 6250.00, 6390.00, 6200.00, 6321.99, 1240
11/20/19, 6369.99, 6385.00, 6100.00, 6225.00, 300
11/19/19, 6030.01, 6335.00, 6030.01, 6335.00, 120
11/18/19, 6821.99, 6821.99, 6252.00, 6276.25, 420
11/15/19, 6425.00, 6841.00, 6400.00, 6576.25, 300
11/14/19, 6400.00, 6700.00, 6400.00, 6550.00, 180
11/12/19, 6800.00, 6800.00, 6549.00, 6549.80, 160
11/11/19, 6856.00, 6856.00, 6530.00, 6530.00, 60
11/08/19, 6550.00, 6550.00, 6500.00, 6550.00, 100
11/07/19, 6550.00, 6550.00, 6550.00, 6550.00, 40
11/06/19, 6788.00, 6788.00, 6778.00, 6779.00, 80
11/05/19, 6440.00, 6490.00, 6440.00, 6465.00, 40
11/04/19, 6449.00, 6440.00, 6440.00, 6449.00, 20
11/01/19, 6120.01, 6449.00, 6110.00, 6449.00, 140
10/31/19, 6313.00, 6400.00, 6313.00, 6400.00, 220
10/30/19, 6500.00, 6790.00, 6500.00, 6645.00, 400
10/25/19, 7000.00, 7000.00, 6584.00, 6792.00, 80
10/24/19, 6500.00, 6937.00, 6400.00, 6930.00, 100
10/23/19, 6610.00, 6610.00, 6610.00, 6610.00, 20
10/22/19, 6300.00, 6300.00, 6300.00, 6300.00, 60
10/21/19, 6000.00, 6000.00, 5985.00, 6000.00, 120
10/18/19, 5525.00, 5801.25, 5525.00, 5764.24, 1040
10/17/19, 5560.00, 5565.00, 5525.00, 5525.00, 100
10/16/19, 5500.00, 5565.00, 5500.00, 5565.00, 80
10/11/19, 5520.00, 5520.00, 5365.00, 5365.00, 100
10/10/19, 5520.00, 5520.00, 5518.00, 5520.00, 160
10/09/19, 5520.00, 5520.00, 5520.00, 5520.00, 60
10/08/19, 5580.00, 5580.00, 5510.00, 5510.00, 100
10/07/19, 5540.00, 5580.00, 5450.00, 5580.00, 300
10/03/19, 5520.00, 5520.00, 5520.00, 5520.00, 20
09/25/19, 5560.00, 5644.00, 5462.50, 5583.50, 200
09/24/19, 5920.00, 5920.00, 5750.00, 5750.00, 40
09/17/19, 6178.00, 6178.00, 5595.50, 5642.76, 380
09/16/19, 5940.00, 5940.00, 5890.00, 5890.00, 40
09/13/19, 5750.00, 5989.00, 5989.00, 5750.00, 20
09/12/19, 5750.00, 5750.00, 5750.00, 5750.00, 20
09/11/19, 5600.00, 5788.00, 5518.55, 5619.64, 180
09/06/19, 5899.00, 5899.00, 5899.00, 5899.00, 20
09/05/19, 5800.00, 5800.00, 5790.25, 5790.25, 100
